Actor1	Acotr2	Year
STENBORG, HELEN	BIVENS, J.B.	1993
MACNEILLE, TRESS	CHAMBERS, LOSSEN	1994
FRANCO, DAVE	KELLY, MATTHEW ROBERT	2007
FLEMYNG, JASON	BOSCO, PHILIP (I)	1994
RESLER, FRED	MOORE, JACK (IV)	2006
WOLFE, JEFF (I)	IMPERIOLI, MICHAEL	1996
STUDI, WES	BARBER, GILLIAN (I)	1993
MARENGO, GISELLA	JACKSON, ANDREW (II)	2006
ESCOBAR, DANIEL (I)	BRIDDELL, JON	1997
FORD DAVIES, OLIVER	RUSSO, GIANNI (I)	1991
BLEU, CORBIN	BARBER, GILLIAN (I)	1998
PRESSMAN, DAVID (I)	NIELSEN, ROBIN (I)	1998
PRIMUS, BARRY (I)	STRUFFOLINO, DAVID	2007
FUGIT, LANETTE	BARBER, GILLIAN (I)	1999
BIRCHARD, PAUL (I)	SHEEDY, ALLY	1992
SHAMOS, JEREMY	DRAKE, JUDITH	2005
SBARGE, RAPHAEL	BARBER, GILLIAN (I)	1993
CASTELLITTO, SERGIO	BARTY, BILLY	1995
PARROTT, BILLY	LITHGOW, JOHN (I)	1996
HARELIK, MARK	BARBER, GILLIAN (I)	1999
STERLING, MINDY	CRYER, JON	1994
ARKIN, ALAN	HAEUSER, RUSSELL M.	2006
ROBERTS, JULIA (I)	BARBER, GILLIAN (I)	1993
GAULT, WILLIE	HOLLY, LAUREN	1996
CLENDENIN, CURT	HAYDEN, LUKE	1994
SANDLER, JACKIE (I)	BARBER, GILLIAN (I)	1999
TAYLOR, BUCK (I)	LIPTON, PEGGY	1985
PODELL, EYAL	BEDFORD LLOYD, JOHN	1999
PLATT, OLIVER	BARBER, GILLIAN (I)	1993
ROBARDS, JASON	POUNDER, CCH	1981
LAFAYETTE, JOHN	WESTON, MICHAEL (I)	2000
FRANKLE, ANDREA	BARBER, GILLIAN (I)	2007
NOWELL, JEFFERY (I)	ULLMAN, TRACEY	2012
WALTON-WALKER, PEGGY	RENNISON, COLLEEN	1996
HOLMES, KATIE	BARBER, GILLIAN (I)	1997
BORTH, MICHELLE	BOSCO, PHILIP (I)	2003
GALLAGHER, PETER (I)	GOODMAN, DANA (II)	2002
KOSAKA, PETER	BARBER, GILLIAN (I)	1994
WILSON, DON 'THE DRAGON'	EVANS, ART (I)	1991
PRICE, MATT (I)	O'BRYAN, SEAN (I)	1999
OKAMURA, GERALD	BARBER, GILLIAN (I)	1993
YU, KELVIN (I)	HOUSTON, GARY (I)	2005
PERKINS, ELIZABETH (I)	BARBER, GILLIAN (I)	1993
LUV, FREEZ	LYMAN, WILL	1994
BLAIR, BILL (III)	BARBER, GILLIAN (I)	1993
WARNOCK, DONALD	MULLALLY, MEGAN	1991
CHAPMAN, KEVIN (I)	BARBER, GILLIAN (I)	1998
SCOTT, ANNELIZA	ROLLE, ESTHER	1993
ANDERSON, ANTHONY (I)	BARBER, GILLIAN (I)	1997
SHEARMAN, ALAN	THIGPEN, LYNNE	1995
AHMED, AHMED (I)	BARBER, GILLIAN (I)	1995
KNEELAND, KATIE (II)	CALABRETTA, TONY	2006
DIMAGGIO, JOHN	BARBER, GILLIAN (I)	1994
UTAY, WILLIAM	GEORGESON, TOM	1997
HARE, KEVIN (I)	BARBER, GILLIAN (I)	1998
O'BRIEN, SHAUNA (I)	MACANINCH, CAL	1994
TEMPLE, LEW	BARBER, GILLIAN (I)	1994
ASQUITH-COE, LEE	STERNE, DAVID	1995
FRIEDMAN, PETER (I)	BARBER, GILLIAN (I)	1993
TOM, STEVE (I)	BAYNE, LAWRENCE	1999
MESSURI, LORIDAWN	BARBER, GILLIAN (I)	1997
MCCONCHIE, MARK	DIXON, TIM (I)	2000
JEMISON, EDDIE	BARBER, GILLIAN (I)	1997
TAYLOR, PAUL T.	JACKSON, DEE JAY	2005
ROLLINS, HENRY	BARBER, GILLIAN (I)	1994
BOYLE, PETER (I)	MANCUSO, NICK (I)	1991
BEINBRINK, WILL	BARBER, GILLIAN (I)	2002
ZIEGLER, IRENE	REDMOND, SARAH-JANE	1996
LAMBERT, VICKY	BARBER, GILLIAN (I)	2000
O'BRIEN, BRENNA (II)	TERZO, VENUS	2002
SMITH, LOIS (I)	BARBER, GILLIAN (I)	1993
GUNNING, LESLIE	BRIDDELL, JON	2007
HENNESSY, JILL	BARBER, GILLIAN (I)	1993
WILSON, SCOTT (I)	GUINEE, TIM	1993
MULKEY, CHRIS (I)	BARBER, GILLIAN (I)	1993
WILLINGHAM, TRAVIS	ROSS, MATT (I)	2002
GERENA, CHUCK	BARBER, GILLIAN (I)	2005
BRUMMETT, CHAD (I)	BEEVERS, GEOFFREY	2007
MCDONALD, DA'VONE	BARBER, GILLIAN (I)	2002
PAPAJOHN, MICHAEL	GOUGH, MICHAEL (I)	1990
FURST, GRIFF	BARBER, GILLIAN (I)	2000
KATZ, JUDAH	MCGOVERN, BARRY	1995
ADAM, MARK (III)	BARBER, GILLIAN (I)	2005
MAHON, MICHAEL C.	STEVENSON, JULIET	1992
NICHOLAS, THOMAS IAN	BARBER, GILLIAN (I)	1993
VANG, LEE (I)	BRADSHAW, ANDY (I)	2009
EDELSTEIN, LISA (I)	BARBER, GILLIAN (I)	1993
PUGSLEY, DON	HALLAHAN, CHARLES	1992
MCSHANE, JAMIE	BARBER, GILLIAN (I)	1997
KRAUSE, BRIAN (I)	PRETTEN, PHILIP	1992
BUTZ, NORBERT LEO	BARBER, GILLIAN (I)	1998
AGUILLARD, RHONDA FLOYD	WHEATON, WIL	2012
BROWN, KEVIN (I)	BARBER, GILLIAN (I)	1995
TURK, BRIAN	HEIMAN, JESSE	2001
COOK, A.J.	BARBER, GILLIAN (I)	1997
CAINE, MICHAEL (I)	PHILLIPS, LOU DIAMOND	1994
CHANDLER, JOHN DAVIS	BARBER, GILLIAN (I)	1993
MIXON, JAMAL	BENING, ANNETTE	1996
HAGEN, DANIEL (I)	BARBER, GILLIAN (I)	1993
LYSY, AUSTIN	HUNT, BONNIE	2001
